# Solution                  DOF  t1_chi2  t2_chi2
   B1855+09_NANOGrav_9yv1  3914  3899.51  3900.03
   B1937+21_NANOGrav_9yv1  9612  9602.69  9550.49
   B1953+29_NANOGrav_9yv1  1261  1264.77  1265.59
 J0023+0923_NANOGrav_9yv1  4330  4390.34  4390.27
 J0030+0451_NANOGrav_9yv1  2386  2392.47  2392.73
 J0340+4130_NANOGrav_9yv1  2966  2965.91  2966.28
 J0613-0200_NANOGrav_9yv1  7314  7338.26  7337.88
 J0645+5158_NANOGrav_9yv1  2847  2846.85  2846.91
 J0931-1902_NANOGrav_9yv1   694   700.43   700.36
 J1012+5307_NANOGrav_9yv1 11487 11311.10 11523.37
 J1024-0719_NANOGrav_9yv1  4766  4762.18  4762.66
 J1455-3330_NANOGrav_9yv1  4886  4890.21  4890.00
 J1600-3053_NANOGrav_9yv1  7711  7751.86  7755.50
 J1614-2230_NANOGrav_9yv1  7252  7245.70  7245.54
 J1640+2224_NANOGrav_9yv1  2418  2413.67  2411.27
 J1643-1224_NANOGrav_9yv1  6813  6783.72  6798.52
 J1713+0747_NANOGrav_9yv1 15128 15245.08 15315.72
 J1738+0333_NANOGrav_9yv1  2580  2570.06  2569.92
 J1741+1351_NANOGrav_9yv1  1544  1521.21  1521.76
 J1744-1134_NANOGrav_9yv1  8566  8562.40  8561.56
 J1747-4036_NANOGrav_9yv1  2736  2758.07  2755.69
 J1832-0836_NANOGrav_9yv1  1114  1115.07  1115.07
 J1853+1303_NANOGrav_9yv1  1328  1325.38  1327.15
 J1903+0327_NANOGrav_9yv1  1747  1754.85  1754.80
 J1909-3744_NANOGrav_9yv1 10153 10098.54 10097.36
 J1910+1256_NANOGrav_9yv1  2570  2580.37  2582.21
 J1918-0642_NANOGrav_9yv1  9558  9499.14  9498.68
 J1923+2515_NANOGrav_9yv1   886   893.99   893.94
 J1944+0907_NANOGrav_9yv1  1657  1656.19  1656.34
 J1949+3106_NANOGrav_9yv1  1377  1374.29  1374.22
 J2010-1323_NANOGrav_9yv1  7602  7618.28  7618.40
 J2017+0603_NANOGrav_9yv1  1524  1532.99  1532.83
 J2043+1711_NANOGrav_9yv1  1342  1342.92  1342.84
 J2145-0750_NANOGrav_9yv1  6937  6885.98  6884.44
 J2214+3000_NANOGrav_9yv1  2472  2456.10  2455.73
 J2302+4442_NANOGrav_9yv1  2994  3006.35  3005.93
 J2317+1439_NANOGrav_9yv1  2531  2522.61  2522.43
